 Id,Date,Location_name,Lat,Long,Coordinator,Contribution,Data,Purpose,Method,Ancillary measures,Project name,Abstract,,,Article
1,2023, Majadas del Tiétar (Cáceres),39.95, -5.75,"M.P. Martín, H. Nieto, B. Mary","Acquisition, Processing",,Interaction soil-plant-atmosphere,ERT; EM,"SWC, Eddy Covariance, Weather, Plant physiology",E04WUE,,,,
1,2023,Colmenar de Oreja,40.1098825,-3.390550,"H. Nieto, B. Mary","Acquisition, Processing",,Interaction soil-plant-atmosphere,ERT,"SWC, Eddy Covariance, Weather, Plant physiology",E04WUE,,,,
1,2023,Legnaro,45.34565,11.963914,"F. morari, A. Carrera","Processing, Mentoring",,Interaction soil-plant-atmosphere,ERT; Seismic; FDEM,"SWC, Weather",SoCoRisk,,,,
2,2023,Re-Della-Pietra,43.88,11.6,D. Penna,Processing,,Hydrology,ERT; GPR; Seismic; FDEM,"SWC, Weather, Stemflow, Discharge, Groundwater levels",WATZON,,,,
3,2022,Noble,35.139236,-97.394753,Y. Wu,Processing,,Interaction soil-plant-atmosphere,ERT,"SWC, tensiometers, weather, ET",,,,,10.1007/s11104-020-04529-w
4,2022,Berkeley Lab,37.874921,-122.252898,Y. Wu,Processing,,Interaction soil-plant-atmosphere,ERT,"SWC, rhizotron, tensiometers, weather, ET",,,,,
5,2021,Padova Lab,45.406435,11.876761,G. Cassiani,"Acquisition, Processing",,Interaction soil-plant-atmosphere,,,,,,,
6,2020,Legnaro,45.34565,11.963914,I. Picolli,"Acquisition, Processing",,Interaction soil-plant-atmosphere,ERT,,,,,,
7,2020,Valfredda,46.41072,11.84337,M. Camporese,"Acquisition, Processing",,Hydrology,FDEM,,,,,,
8,2020,Alento,40.15,15.13333,"G. Cassiani, Nunzio Romano","Acquisition, Processing",,Hydrology,FDEM,Neutron Probes; SWC,,,,,
9,2019-10,Monteriggioni,43.3471953,11.3051249,R. Deiana,"Acquisition, Processing",,Archeology,ERT,,,,,,
10,2019-10,Sienna,43.318611,11.330556,R. Deiana,Acquisition,,Archeology,ERT,,,,,,
11,2020-02,Lamosano,46.172658,12.386934,G. Cassiani,"Acquisition, Processing",,Geohazard,ERT,,,,,,
12,2020-02,Posina,45.7910878,11.2625174,G. Cassiani,"Acquisition, Processing",,Geohazard,ERT,,,,,,
13,2019-02,Aviano,46.07056,12.59472,G. Cassiani,"Acquisition, Processing",,Geohazard,ERT; GPR,,,,,,
14,2019-03,Catania,37.5,15.090278,G. Cassiani; D. Vanella,"Acquisition, Processing",,Interaction soil-plant-atmosphere,,,,,,,10.1038/s41598-019-46107-w
15,2019-05,Asiago,45.875885,11.50962,G. Cassiani,"Acquisition, Processing",,Geohazard,ERT,,,,,,
16,2019-06,Tunis,36.806389,10.181667,G. Cassiani,"Acquisition, Processing",,Interaction soil-plant-atmosphere,ERT,,,,,,
17,2019-10,Tel-Aviv,32.111767,34.801361,G. Cassiani; Nimrod Schwartz,Conceptualization,,Interaction soil-plant-atmosphere,ERT,,,,,,
18,2019-10,Mestre,45.47152,12.24017,G. Cassiani,"Acquisition, Processing",,Geohazard,ERT; MALM,,,,,,
19,2010-01,Vix,46.3667,-0.8667,METIS UMR,"Acquisition, Processing, Training",,Archeology,EM; Mag,,,,,,
20,2017,Vienna,48.210033,16.363449,A. O. Flores,Processing,,Interaction soil-plant-atmosphere,EIS; MALM,,,,,,
21,2014,Le Tholonet,43.523,5.513,B. Mary,"Acquisition, Processing",,Interaction soil-plant-atmosphere,"SIP; TDIP, ERT",,,,,,
22,2014,Arles,43.676701,4.6278,B. Mary,"Acquisition, Processing",,Geohazard,ERT; Acoustic,,,,,,10.1038/s41598-019-46107-w
23,2010-01,Merlimont,50.45,1.6167,METIS UMR,"Acquisition, Processing, Training",,Geohazard,Seismic; ERT; EM; TDEM,,,"Determination of tectonic structure of a chalk aquifer coastal by geophysical investigations (Nord Pas-de-Calais, France)",,,
24,2012-01,Vars,44.5977,6.6917,S. Merckle; M. Wathelet; C. Cornou,"Acquisition, Processing, Training",,Geohazard,S; Surface Waves and H/V ratio,,,,,,
25,2019-05,Bordeaux,44.8333,-0.5667,B. Mary;  M. Schmutz,"Acquisition, Processing",,Interaction soil-plant-atmosphere,ERT; MALM,,,"Geophysical prospecting on Bordeaux vineyard observatory (Chateaux La Louvière, France), collaboration with Bordeaux INP, University Bordeaux Montaigne",,,10.1038/s41598-019-46107-w
26,2018-05,Bordeaux,44.8333,-0.5667,B. Mary;  M. Schmutz,"Acquisition, Processing",,Interaction soil-plant-atmosphere,IP,,,Experimental benchmarking on IP imaging methods applied to vine root systems in Bordeaux merging different teams. ,,,
27,2018-01,Naples,40.853294,14.305573,L. Busato,"Acquisition, Processing",,Interaction soil-plant-atmosphere,ERT; MALM,surface (Sap flow) and remotes observation (evapotranspiration and hyperspectral imaging measurements),,ECOREMED life project: bioremediation of a contaminated site using agriculture-based soil restoration techniques. Assessing and quantify via geophysical imaging the potential positive effects of root in the reduction of soil disturbance due to the presence of long standing crops.,,,
28,2016,Chateaux La Louvière,44.8333,6.6917,G. Cassiani; M. Schmutz,"Acquisition, Processing",,Interaction soil-plant-atmosphere,ERT; MALM,Plant traits,,"Geophysical prospecting on Bordeaux vineyard observatory (Chateaux La Louvière, France), collaboration with Bordeaux INP, University Bordeaux Montaigne",,,
29,2016 2017,Saint Michel l’Observatoire,43.9167,5.7167,I. Reiter,"Acquisition, Processing",,Interaction soil-plant-atmosphere,ERT,,,,,,
